time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,6,5,34,13
2025-11-08 00:00:00+00:00,10,4,49,13
2025-11-09 00:00:00+00:00,2,2,40,12
2025-11-10 00:00:00+00:00,12,6,36,11
2025-11-11 00:00:00+00:00,3,2,12,7
2025-11-12 00:00:00+00:00,4,3,40,13
2025-11-13 00:00:00+00:00,4,4,45,15
2025-11-14 00:00:00+00:00,9,4,17,10
2025-11-15 00:00:00+00:00,6,5,22,8
2025-11-16 00:00:00+00:00,4,4,42,16
2025-11-17 00:00:00+00:00,2,2,39,10
2025-11-18 00:00:00+00:00,4,4,42,15
2025-11-19 00:00:00+00:00,5,5,35,13
2025-11-20 00:00:00+00:00,1,1,37,13
