referrer,views_total,views_unique
Google,416,100
yandex.ru,105,16
github.com,29,7
DuckDuckGo,18,4
cn.bing.com,18,4
ya.ru,12,3
Bing,7,4
epartners.co.nz,3,3
Yahoo,3,1
search.brave.com,2,1
