time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,8,3,13,4
2026-08-13 00:00:00+00:00,18,6,24,2
2026-08-14 00:00:00+00:00,8,4,8,3
2026-08-15 00:00:00+00:00,1,1,10,4
2026-08-16 00:00:00+00:00,2,2,7,6
2026-08-17 00:00:00+00:00,3,3,9,6
2026-08-18 00:00:00+00:00,1,1,18,7
2026-08-19 00:00:00+00:00,2,2,11,7
2026-08-20 00:00:00+00:00,7,4,32,8
2026-08-21 00:00:00+00:00,19,6,6,3
2026-08-22 00:00:00+00:00,2,2,4,4
2026-08-23 00:00:00+00:00,1,1,17,7
2026-08-24 00:00:00+00:00,1,1,19,8
2026-08-25 00:00:00+00:00,6,3,50,13
