referrer,views_total,views_unique
Google,246,66
yandex.ru,29,10
DuckDuckGo,7,6
Bing,7,5
ya.ru,7,2
epartners.co.nz,3,2
yandex.com,2,1
chatgpt.com,1,1
m.baidu.com,1,1
