referrer,views_total,views_unique
Google,214,28
Bing,90,5
github.com,81,2
yandex.ru,41,11
search.brave.com,27,1
yandex.by,13,1
DuckDuckGo,8,1
cn.bing.com,4,1
qwant.com,1,1
Baidu,1,1
