referrer,views_total,views_unique
Google,156,41
yandex.ru,39,7
github.com,15,2
DuckDuckGo,12,5
cn.bing.com,9,2
search.brave.com,4,2
epartners.co.nz,4,1
Bing,2,2
Baidu,1,1
yandex.kz,1,1
