time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-27 00:00:00+00:00,2,2,45,15
2025-01-28 00:00:00+00:00,1,1,22,7
2025-01-29 00:00:00+00:00,1,1,35,16
2025-01-30 00:00:00+00:00,2,2,65,12
2025-01-31 00:00:00+00:00,5,2,65,14
2025-02-01 00:00:00+00:00,4,2,27,11
2025-02-02 00:00:00+00:00,5,2,20,8
2025-02-03 00:00:00+00:00,6,3,56,11
2025-02-04 00:00:00+00:00,5,2,56,12
2025-02-05 00:00:00+00:00,1,1,30,11
2025-02-06 00:00:00+00:00,6,4,25,9
2025-02-07 00:00:00+00:00,2,2,28,12
2025-02-08 00:00:00+00:00,1,1,36,11
2025-02-09 00:00:00+00:00,4,1,35,15
