referrer,views_total,views_unique
Google,193,50
Bing,13,2
pejaver.com,8,2
yandex.ru,8,2
ya.ru,8,1
cn.bing.com,8,1
DuckDuckGo,5,2
epartners.co.nz,4,1
Baidu,3,2
ecosia.org,2,1
