time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-12 00:00:00+00:00,5.0,2.0,71,20
2025-03-13 00:00:00+00:00,1.0,1.0,76,8
2025-03-14 00:00:00+00:00,5.0,3.0,57,13
2025-03-15 00:00:00+00:00,6.0,3.0,103,15
2025-03-16 00:00:00+00:00,6.0,3.0,58,11
2025-03-17 00:00:00+00:00,4.0,2.0,51,14
2025-03-18 00:00:00+00:00,1.0,1.0,73,18
2025-03-19 00:00:00+00:00,6.0,3.0,54,18
2025-03-20 00:00:00+00:00,1.0,1.0,46,16
2025-03-21 00:00:00+00:00,3.0,2.0,39,13
2025-03-22 00:00:00+00:00,4.0,2.0,20,8
2025-03-23 00:00:00+00:00,2.0,2.0,10,7
2025-03-24 00:00:00+00:00,4.0,2.0,38,13
2025-03-25 00:00:00+00:00,,,49,13
