referrer,views_total,views_unique
Google,238,52
github.com,77,5
yandex.ru,36,7
Bing,23,9
ya.ru,9,1
cn.bing.com,6,1
Yahoo,2,1
DuckDuckGo,1,1
Baidu,1,1
