referrer,views_total,views_unique
Google,310,66
yandex.ru,51,12
github.com,50,8
Bing,27,9
DuckDuckGo,7,5
search.brave.com,7,1
github-com.translate.goog,2,1
Baidu,1,1
epartners.co.nz,1,1
