time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,4,4,45,15
2025-11-14 00:00:00+00:00,9,4,17,10
2025-11-15 00:00:00+00:00,6,5,22,8
2025-11-16 00:00:00+00:00,4,4,42,16
2025-11-17 00:00:00+00:00,2,2,39,10
2025-11-18 00:00:00+00:00,4,4,42,15
2025-11-19 00:00:00+00:00,5,5,35,13
2025-11-20 00:00:00+00:00,3,3,37,13
2025-11-21 00:00:00+00:00,2,2,58,13
2025-11-22 00:00:00+00:00,5,5,41,10
2025-11-23 00:00:00+00:00,2,2,20,8
2025-11-24 00:00:00+00:00,2,2,24,6
2025-11-25 00:00:00+00:00,5,5,32,10
2025-11-26 00:00:00+00:00,1,1,22,10
