referrer,views_total,views_unique
Google,393,98
DuckDuckGo,42,12
github.com,31,8
Bing,27,10
yandex.ru,26,9
tw.search.yahoo.com,18,1
Baidu,5,2
yandex.kz,4,1
ecosia.org,3,3
ya.ru,3,1
